risk_band,count,avg_score,min_score,max_score,default_rate,total_defaults,cumulative_default_rate
Band_1,40,0.05879989859529585,0.009247779729788604,0.09313707397106229,0.05,2,0.05
Band_2,40,0.13679156956681054,0.09781558578058007,0.18660560262901013,0.15,6,0.1
Band_3,40,0.2502721825061512,0.1897732785897581,0.32265656149673344,0.275,11,0.15833333333333333
Band_4,40,0.4029663849582173,0.32421650335928753,0.4968420172894776,0.4,16,0.21875
Band_5,40,0.6330443680110338,0.4992522886291803,0.8141524719369403,0.625,25,0.3
